Sentiment,Text
0,Company loses major client contract to competitor
0,Rising input costs squeeze operating margins severely
0,Company reports significant increase in bad loans
0,Regulatory body imposes heavy fine on company
0,Company files for bankruptcy protection
0,Stock hits 52 week low amid selling pressure
0,Company delays quarterly results raising investor concerns
0,Foreign institutional investors reduce stake significantly
0,Company reports negative free cash flow for the year
0,Bank reports spike in non performing assets
0,Company faces class action lawsuit from investors
0,Supply chain disruption impacts production targets
0,Company faces intense competition from new market entrants
0,Audit firm raises going concern doubt about company
0,Company reports inventory buildup indicating weak demand
0,Currency headwinds impact export revenue significantly
0,Company postpones expansion plans due to funding issues
0,Key product patent expires opening market to generics
0,Company reports higher than expected tax provision
0,Management admits to missing operational targets
0,Company faces labour strike affecting production
0,Debt repayment concerns weigh on stock price
0,Company reports writedown of assets acquired in merger
0,Quarterly subscription cancellations rise sharply
0,Company loses government contract to lower bidder
0,Rising interest rates increase borrowing costs significantly
0,Company reports higher attrition rate impacting operations
0,Aggressive competitor pricing erodes market share
0,Company CFO resignation surprises investors
0,Weak monsoon impacts agricultural input company sales
0,Company reports lower realization prices for key products
0,Global slowdown impacts export oriented company revenues
0,Company reports delay in project execution
0,Rising fuel costs impact logistics company profitability
0,Company dividend payout reduced due to cash conservation
0,Retail investor confidence in stock falls sharply
0,Company fails to secure renewal of key operating license
0,Management guidance disappoints street expectations
0,Company reports higher provisions for bad debts
0,Weak demand environment persists across key segments
1,Company reports strong subscriber additions this quarter
1,Platform monthly active users cross major milestone
1,Company wins defence sector contract from government
1,Festive season sales significantly exceed last year
1,Company successfully launches initial public offering
1,Bank credit growth accelerates above industry average
1,Company announces major capacity expansion investment
1,Operating leverage drives strong earnings growth
1,Company reports market share gains in core segment
1,Institutional ownership increases indicating confidence
1,Company completes debt refinancing at lower interest rate
1,Strong order inflows indicate healthy revenue visibility
1,Company reports sequential improvement in all key metrics
1,New drug clinical trial shows highly promising results
1,Company reports highest ever export revenue this quarter
1,Management team strengthened with senior industry hires
1,Company reports strong recovery in volumes post slowdown
1,Renewable energy segment drives overall company growth
1,Company reports improvement in return on equity
1,Digital lending platform reports strong growth metrics
0,Company reports sharp decline in new order intake
0,Customer churn rate increases amid service quality issues
0,Company faces antitrust investigation by competition body
0,Rising raw material costs impact gross margins severely
0,Company announces suspension of dividend payment
0,Key market segment shows structural demand weakness
0,Company reports impairment charge on overseas acquisition
0,Management change creates uncertainty about strategic direction
0,Company loses arbitration case resulting in large payout
0,Weak export demand impacts revenue and profitability
0,Company reports higher warranty claims on new products
0,Credit card defaults rise at major private sector bank
0,Company unable to pass on cost increases to customers
0,Activist investor demands major strategic changes
0,Company reports deterioration in accounts receivable days
0,New entrant disrupts market with aggressive pricing
0,Company reports higher employee costs impacting margins
0,Monsoon deficit impacts fertilizer and agri company sales
0,Company faces execution challenges in new business segment
0,Rising competition in telecom impacts average revenue per user
1,Company reports turnaround with return to profitability
1,New management team delivers on promised targets
1,Company resolves long standing legal dispute favorably
1,Debt restructuring successfully completed ahead of schedule
1,Company wins landmark arbitration case against government
1,Strategic divestment unlocks significant shareholder value
1,Company reports strong recovery in core business metrics
1,Cost optimization program delivers better than expected results
1,Company successfully enters premium market segment
1,Joint venture with global partner shows strong early results
0,Company reports third consecutive quarter of declining margins
0,Market share loss accelerates in key product category
0,Company faces working capital crisis affecting operations
0,Rising competitive intensity forces price cuts across segments
0,Company misses debt covenants triggering lender concerns
0,Forensic audit uncovers financial irregularities
0,Company reports higher than expected employee attrition
0,Regulatory changes adversely impact business model
0,Company reports significant customer concentration risk
0,Overseas subsidiary reports large unexpected losses
